,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,TrialNumber,distance,prediction,label,is_test,SubjectNr,TrialNumber,Block,Score
34,120,5,0.308553684,20.61901274,52.7,6.666666667,13,2.163166667,3.9488,1.02655,1.4633,2,31,0.8526560622460609,Speed,Speed,FALSE,101,31,3,0.046
35,120,5,0.308553684,53.64656151,128.56,6.666666667,13,2.079566667,3.2433,1.57445,1.9028,2,32,-0.36857619352056903,Accuracy,Speed,FALSE,101,32,4,0.042
36,120,5,0.308553684,51.2,150.85,6.666666667,7,2.2616,2.4745,1.61155,2.1215,2,33,0.01910764318779623,Speed,Speed,FALSE,101,33,4,0.017
37,120,5,0.308553684,32.79362776,82.21,6.666666667,12,2.1028,3.5469999999999997,1.57415,1.611,2,34,0.8714074481470307,Speed,Speed,FALSE,101,34,4,0.054
38,120,5,0.308553684,41.72636156,89.23,6.666666667,9,3.106933333,4.2659,1.35705,1.4675,2,35,0.7587197739897095,Speed,Speed,FALSE,101,35,4,-0.01
39,120,5,0.308553684,37.45596154,92.13,6.666666667,12,2.603,4.5473,0.9918,1.0283,2,36,1.7408910923909304,Speed,Speed,FALSE,101,36,4,0.05
40,80,5,0.308553684,46.51957143,119.0,5.0,9,1.655075,2.7607,1.533433333,1.7883,3,47,1.2809285756637205,Speed,Speed,TRUE,101,47,1,-0.101
41,80,5,0.308553684,30.25523148,118.35,2.857142857,5,1.166966667,1.9215,-0.616316667,2.1983,5,48,0.9994952977759027,Speed,Speed,FALSE,101,48,1,-0.026
42,80,5,0.308553684,27.07642667,91.42,3.333333333,7,1.109216667,2.1944,1.0885200000000002,1.3763,5,49,0.6955852103657408,Speed,Speed,TRUE,101,49,1,0.017
43,80,5,0.308553684,18.93698113,59.16,4.0,6,1.38398,1.8511,1.1549,1.5819999999999999,4,50,-0.7103431822664307,Accuracy,Speed,FALSE,101,50,1,0.033
44,80,5,0.308553684,36.03432258,108.21,4.0,6,1.7708,2.405,1.3769,1.5814,4,51,0.9114665773996476,Speed,Speed,FALSE,101,51,1,-0.065
45,80,5,0.308553684,28.62122,96.93,2.857142857,6,1.1327714290000002,02.05,1.7426166669999998,2.4035,6,52,0.9997592891292962,Speed,Speed,FALSE,101,52,2,-0.003
46,80,5,0.308553684,30.55283753,99.16,3.333333333,4,1.2542,1.5702,1.47296,1.855,5,53,-0.2599074746249256,Accuracy,Speed,FALSE,101,53,2,-0.002
47,80,5,0.308553684,22.09859079,70.6,4.0,6,1.3041399999999999,1.9942,1.461425,1.8521,4,54,-1.482189948835392,Accuracy,Speed,FALSE,101,54,2,0.027
48,80,5,0.308553684,33.77066986,77.93,3.333333333,5,1.2339,1.7728,1.2673,1.3785,5,55,-1.0212402533462526,Accuracy,Speed,FALSE,101,55,2,0.01
49,80,5,0.308553684,29.65987342,89.73,2.857142857,5,1.136414286,1.6404,1.4229,1.6509,6,56,-0.35078191671117176,Accuracy,Speed,FALSE,101,56,2,0.008
50,80,5,0.308553684,28.34131367,93.29,3.333333333,5,1.0,1.5728,1.43108,1.7881,5,57,-0.21481686407119527,Accuracy,Speed,FALSE,101,57,3,0.014
51,80,5,0.308553684,26.97818697,82.46,4.0,6,1.2454,1.3246,1.29235,1.5828,4,58,-1.3639440351398817,Accuracy,Speed,FALSE,101,58,3,0.013
52,80,5,0.308553684,34.01541463,95.96,3.333333333,6,1.150916667,1.8556,1.43206,1.8569,5,59,0.1228683906455258,Speed,Speed,FALSE,101,59,3,-0.012
53,80,5,0.308553684,39.40664269,106.39,2.857142857,6,0.958357143,1.7022,1.4343,1.9238,6,60,-0.12613862453891656,Accuracy,Speed,FALSE,101,60,3,-0.033
54,80,5,0.308553684,29.27591346,89.19,3.333333333,5,1.17635,1.6230000000000002,1.40386,1.7879,5,61,-0.5655283930797766,Accuracy,Speed,FALSE,101,61,3,-0.008
55,80,5,0.308553684,32.83008475,80.88,2.857142857,5,1.1044,1.6966,1.5474833330000002,2.6082,6,62,-0.9254324925179643,Accuracy,Speed,FALSE,101,62,4,0.009
56,80,5,0.308553684,34.54858974,101.03,2.5,5,1.09925,1.7164,1.5727285709999999,2.0605,7,63,-0.09540101164072856,Accuracy,Speed,FALSE,101,63,4,-0.043
57,80,5,0.308553684,23.68554702,101.5,2.5,3,1.0898625,1.5966,1.346957143,2.0594,7,64,0.4242704930689337,Speed,Speed,FALSE,101,64,4,-0.035
58,80,5,0.308553684,33.66191038,89.5,3.333333333,6,1.28375,1.9684,1.18594,1.4461,5,65,0.008177171154477691,Speed,Speed,FALSE,101,65,4,0.009
59,80,5,0.308553684,36.18349301,100.02,2.857142857,4,1.180342857,1.8975,1.5713,2.6786,6,66,-0.7593801822035896,Accuracy,Speed,FALSE,101,66,4,-0.043
60,120,3,0.308553684,38.94838816,95.38,10.0,11,3.1282,3.6244,2.2640000000000002,2.2640000000000002,1,77,-1.610653254660336,Accuracy,Speed,TRUE,101,77,1,0.057
61,120,3,0.308553684,25.61679577,58.27,10.0,10,3.0778,3.4984,1.1013,1.1013,1,78,-1.3424251859180827,Accuracy,Speed,FALSE,101,78,1,0.079
62,120,3,0.308553684,23.89654545,43.4,10.0,12,3.02645,3.1654,0.8079,0.8079,1,79,-0.9069415064294913,Accuracy,Speed,TRUE,101,79,1,0.098
63,120,3,0.308553684,41.65507092,92.59,10.0,12,3.0129,3.7768,1.3931,1.3931,1,80,-1.184302699294372,Accuracy,Speed,FALSE,101,80,1,0.086
64,120,3,0.308553684,22.78650456,42.28,10.0,11,3.72825,3.8695,0.5173,0.5173,1,81,-0.9080752579111161,Accuracy,Speed,FALSE,101,81,1,0.066
65,120,3,0.308553684,21.43886544,52.57,10.0,13,4.2538,6.5112,1.1025,1.1025,1,82,0.35295161696445254,Speed,Speed,FALSE,101,82,2,0.032
66,120,3,0.308553684,57.91561129,121.64,10.0,11,3.33965,3.438,2.1908,2.1908,1,83,-1.7967299350722326,Accuracy,Speed,FALSE,101,83,2,0.06
67,120,3,0.308553684,28.28966997,81.64,10.0,11,3.4185,3.8212,1.5385,1.5385,1,84,-1.6912209568589076,Accuracy,Speed,FALSE,101,84,2,0.069
68,120,3,0.308553684,23.14744118,45.94,10.0,11,3.716,3.717,1.4669999999999999,1.4669999999999999,1,85,-0.7861868136156799,Accuracy,Speed,FALSE,101,85,2,0.051
69,120,3,0.308553684,20.05379822,44.96,6.666666667,7,2.2625666669999998,2.4098,1.51235,1.5618,2,86,-1.7621174772106456,Accuracy,Speed,FALSE,101,86,2,0.04
70,120,3,0.308553684,25.49431298,52.04,10.0,11,2.827,2.9372,1.0267,1.0267,1,87,-1.3157834310088758,Accuracy,Speed,FALSE,101,87,3,0.102
71,120,3,0.308553684,26.912825399999996,60.76,10.0,11,3.4641,3.5619,1.1726,1.1726,1,88,-0.9520896106370257,Accuracy,Speed,FALSE,101,88,3,0.074
72,120,3,0.308553684,28.46013986,66.87,10.0,11,3.0267,3.4113,1.6103,1.6103,1,89,-1.012331922484671,Accuracy,Speed,FALSE,101,89,3,0.081
73,120,3,0.308553684,24.5920202,54.16,10.0,13,3.26425,3.7439,1.0291,1.0291,1,90,-0.43092621972410805,Accuracy,Speed,FALSE,101,90,3,0.083
74,120,3,0.308553684,24.10480712,54.36,6.666666667,12,2.395233333,4.1629,0.88185,1.1745,2,91,-0.5299881570828914,Accuracy,Speed,FALSE,101,91,3,0.05
75,120,3,0.308553684,32.12111888,66.73,10.0,12,3.1507,3.4392,0.8803,0.8803,1,92,-1.0304488601513184,Accuracy,Speed,FALSE,101,92,4,0.091
76,120,3,0.308553684,34.75315287,74.34,10.0,11,3.39335,4.3084,1.3204,1.3204,1,93,-1.030449782443108,Accuracy,Speed,FALSE,101,93,4,0.043
77,120,3,0.308553684,30.97586751,71.78,10.0,12,3.5507,4.4381,0.8112,0.8112,1,94,-0.6129813802795011,Accuracy,Speed,FALSE,101,94,4,0.077
78,120,3,0.308553684,40.08037801,73.73,10.0,11,3.1129,3.4730000000000003,1.464,1.464,1,95,-1.487112178208855,Accuracy,Speed,FALSE,101,95,4,0.081
79,120,3,0.308553684,23.14992982,61.42,10.0,11,3.1125,3.5346,0.9556,0.9556,1,96,-0.9135620003640893,Accuracy,Speed,FALSE,101,96,4,0.091
80,80,5,0.197858158,47.62627986,117.32,6.666666667,9,1.8768,2.3661,1.5106,1.6434,2,107,1.0000674906671096,Speed,Speed,FALSE,102,107,1,-0.024
81,80,5,0.197858158,28.60691318,72.3,6.666666667,12,2.0892,3.702,1.17175,1.3086,2,108,1.0001424454491876,Speed,Speed,FALSE,102,108,1,0.035
82,80,5,0.197858158,38.76024476,84.65,5.0,11,1.409775,2.8439,0.8069666670000001,1.1046,3,109,0.8089466881608024,Speed,Speed,FALSE,102,109,1,0.074
83,80,5,0.197858158,40.7040339,97.12,4.0,11,1.1311,2.2859,0.86365,1.3073,4,110,0.9999925571601939,Speed,Speed,FALSE,102,110,1,0.028
84,80,5,0.197858158,49.04458042,114.09,5.0,13,1.5925666669999998,2.9495,-1.845366667,1.6516,2,111,3.1105032613670205,Speed,Speed,FALSE,102,111,1,-0.096
85,80,5,0.197858158,30.38832258,71.24,5.0,9,1.486125,2.3577,1.034233333,1.3773,3,112,-0.4339476774548471,Accuracy,Speed,FALSE,102,112,2,0.039
86,80,5,0.197858158,23.6612628,49.11,6.666666667,9,2.003833333,2.4325,0.9324,1.0355,2,113,-0.6889489604558351,Accuracy,Speed,TRUE,102,113,2,0.058
