,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
741,Speed,80,3,0.18430421052631601,48.48,14,1,2.55935
954,Speed,80,3,0.38239945906432704,61.33,8,4,1.7087599999999998
307,Speed,80,3,0.469810526315789,121.49,6,6,2.5048
195,Speed,80,3,0.39388921052631604,92.86,7,4,1.7493400000000001
516,Speed,80,3,0.28634421052631603,42.34,20,0,7.0718
1,Speed,80,3,0.30855368421052604,44.27,9,2,2.1111666666666697
656,Speed,80,3,0.184142105263158,44.51,20,0,4.5732
849,Speed,80,3,0.394169473684211,132.58,11,2,3.0767
840,Speed,80,3,0.394169473684211,65.42,16,2,3.1946666666666697
955,Speed,80,3,0.38239945906432704,76.19,7,4,1.9581400000000002
751,Speed,80,3,0.18430421052631601,88.88,20,0,4.8248
843,Speed,80,3,0.394169473684211,71.75,14,1,3.92565
397,Speed,80,3,0.316916315789474,84.76,6,4,1.24952
744,Speed,80,3,0.18430421052631601,43.61,20,0,4.149
301,Speed,80,3,0.469810526315789,56.05,6,4,1.9087599999999998
7,Speed,80,3,0.30855368421052604,45.58,7,3,1.62835
455,Speed,80,3,0.38419394736842105,94.53,11,1,4.09005
859,Speed,80,3,0.394169473684211,66.01,6,4,1.77836
450,Speed,80,3,0.38419394736842105,87.59,9,3,2.2099
654,Speed,80,3,0.184142105263158,53.71,20,0,4.1719
576,Speed,80,3,0.264108157894737,34.93,20,0,5.7961
187,Speed,80,3,0.39388921052631604,93.38,20,1,4.17515
456,Speed,80,3,0.38419394736842105,78.72,11,1,3.6179
18,Speed,80,3,0.30855368421052604,62.78,9,2,2.52116666666667
1196,Accuracy,120,5,0.27560500000000004,83.65,10,1,3.41785
1532,Accuracy,120,5,0.4514504970760229,118.67,7,6,1.17267142857143
1650,Accuracy,120,5,0.211221578947368,89.41,9,2,1.5717
1534,Accuracy,120,5,0.4514504970760229,91.88,5,7,1.2593625
1099,Accuracy,120,5,0.25489235380117004,104.45,4,7,0.67115
