,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
1810,Accuracy,80,3,0.22610026315789497,62.02,14,1,2.30095
1818,Accuracy,80,3,0.22610026315789497,66.16,11,1,2.4386
1455,Accuracy,80,3,0.4030171052631579,49.85,6,3,2.67825
1453,Accuracy,80,3,0.4030171052631579,74.69,7,3,2.5723
962,Accuracy,80,3,0.38790115497076,68.51,12,1,4.4139
1678,Accuracy,80,3,0.211221578947368,53.62,5,3,0.9917
1231,Accuracy,80,3,0.22363078947368398,57.77,8,2,1.8612
1402,Accuracy,80,3,0.44272789473684204,71.35,7,4,1.90678
1819,Accuracy,80,3,0.22610026315789497,51.49,13,1,2.5032
1161,Accuracy,80,3,0.27560500000000004,51.79,6,3,1.51125
1808,Accuracy,80,3,0.22610026315789497,87.19,11,1,2.8645
1407,Accuracy,80,3,0.44272789473684204,71.88,5,4,2.3362
979,Accuracy,80,3,0.38790115497076,120.29,7,4,1.8632799999999998
1863,Accuracy,80,3,0.289582368421053,100.15,9,2,2.3769
1237,Accuracy,80,3,0.22363078947368398,58.66,11,1,3.1508
1109,Accuracy,80,3,0.25489235380117004,49.49,4,6,0.693785714285714
1552,Accuracy,80,3,0.4514504970760229,78.82,7,3,2.915725
1675,Accuracy,80,3,0.211221578947368,57.2,7,3,1.194425
963,Accuracy,80,3,0.38790115497076,59.46,7,3,2.559125
1228,Accuracy,80,3,0.22363078947368398,72.27,9,3,1.67215
966,Accuracy,80,3,0.38790115497076,76.24,7,3,2.516
1806,Accuracy,80,3,0.22610026315789497,42.96,11,1,2.6889999999999996
1867,Accuracy,80,3,0.289582368421053,99.54,9,2,2.55466666666667
1350,Accuracy,80,3,0.404969736842105,41.84,8,4,1.05926
315,Speed,80,3,0.469810526315789,76.26,9,3,3.178275
199,Speed,80,3,0.39388921052631604,95.66,8,4,1.8121
442,Speed,80,3,0.38419394736842105,60.64,11,1,3.514
183,Speed,80,3,0.39388921052631604,54.53,11,2,3.3333666666666697
131,Speed,80,3,0.197858157894737,48.25,20,1,3.2951
13,Speed,80,3,0.30855368421052604,53.54,12,1,3.26135
127,Speed,80,3,0.197858157894737,66.75,20,0,4.6201
303,Speed,80,3,0.469810526315789,62.06,7,4,2.50316
304,Speed,80,3,0.469810526315789,58.91,7,5,2.05035
313,Speed,80,3,0.469810526315789,67.55,8,3,3.211975
747,Speed,80,3,0.18430421052631601,69.05,20,0,4.9291
139,Speed,80,3,0.197858157894737,57.77,20,0,4.9461
185,Speed,80,3,0.39388921052631604,68.89,7,3,2.7716
642,Speed,80,3,0.184142105263158,30.15,12,1,2.37575
440,Speed,80,3,0.38419394736842105,54.63,11,1,4.62845
560,Speed,80,3,0.264108157894737,71.27,20,0,5.6968
196,Speed,80,3,0.39388921052631604,70.73,6,4,2.09328
383,Speed,80,3,0.316916315789474,72.29,5,5,1.25856666666667
519,Speed,80,3,0.28634421052631603,121.68,20,0,6.8002
847,Speed,80,3,0.394169473684211,83.46,14,1,4.56375
758,Speed,80,3,0.18430421052631601,49.55,17,1,3.2785
508,Speed,80,3,0.28634421052631603,88.17,7,3,1.837625
305,Speed,80,3,0.469810526315789,100.43,9,4,2.3195
135,Speed,80,3,0.197858157894737,63.19,20,0,4.9685
1613,Accuracy,120,3,0.211221578947368,48.76,12,1,2.354
1785,Accuracy,120,3,0.22610026315789497,47.62,15,1,2.6915
1158,Accuracy,120,3,0.27560500000000004,96.61,20,0,7.0729
1579,Accuracy,120,3,0.4514504970760229,41.88,16,1,5.33895
1616,Accuracy,120,3,0.211221578947368,63.18,11,1,2.4028
1504,Accuracy,120,3,0.4030171052631579,142.03,13,1,3.8393
1792,Accuracy,120,3,0.22610026315789497,43.22,11,1,2.675
