,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
1183,Accuracy,120,5,0.27560500000000004,102.49,7,2,2.01123333333333
1712,Accuracy,120,5,0.258833157894737,91.44,11,1,2.65375
1420,Accuracy,120,5,0.44272789473684204,62.23,5,6,1.30175714285714
1089,Accuracy,120,5,0.25489235380117004,94.83,4,6,0.6407428571428571
1856,Accuracy,120,5,0.289582368421053,143.37,8,2,2.3869
1846,Accuracy,120,5,0.289582368421053,51.08,9,2,2.3118
1460,Accuracy,120,5,0.4030171052631579,104.7,7,3,2.622275
1838,Accuracy,120,5,0.22610026315789497,93.84,11,1,2.31415
1713,Accuracy,120,5,0.258833157894737,104.61,9,2,2.2719
1432,Accuracy,120,5,0.44272789473684204,116.85,5,5,1.84305
1841,Accuracy,120,5,0.289582368421053,58.63,9,2,2.20273333333333
1426,Accuracy,120,5,0.44272789473684204,87.49,5,6,1.46894285714286
1217,Accuracy,120,5,0.22363078947368398,94.3,8,2,1.8032
1425,Accuracy,120,5,0.44272789473684204,122.49,4,6,1.5015
1649,Accuracy,120,5,0.211221578947368,89.53,9,2,1.5572
1191,Accuracy,120,5,0.27560500000000004,103.65,7,3,1.235475
1824,Accuracy,120,5,0.22610026315789497,107.93,8,2,1.9548666666666699
1828,Accuracy,120,5,0.22610026315789497,123.51,12,1,2.2644
1710,Accuracy,120,5,0.258833157894737,87.25,11,2,2.3387
1472,Accuracy,120,5,0.4030171052631579,175.25,5,4,2.19904
1640,Accuracy,120,5,0.211221578947368,106.71,8,2,1.8529333333333302
1213,Accuracy,120,5,0.22363078947368398,89.3,8,2,1.7310666666666699
1479,Accuracy,120,5,0.4030171052631579,103.93,5,4,2.01444
996,Accuracy,120,5,0.38790115497076,114.87,8,3,2.222
1737,Accuracy,80,5,0.258833157894737,64.31,5,6,0.9956285714285721
1907,Accuracy,80,5,0.289582368421053,104.97,7,2,2.42986666666667
1767,Accuracy,80,5,0.22610026315789497,71.2,7,3,1.24725
1634,Accuracy,80,5,0.211221578947368,81.54,6,3,1.054175
1071,Accuracy,80,5,0.25489235380117004,79.96,3,6,0.730728571428571
1919,Accuracy,80,5,0.289582368421053,60.88,8,2,2.2394333333333303
1120,Accuracy,80,5,0.27560500000000004,58.85,6,4,1.1593
1913,Accuracy,80,5,0.289582368421053,124.31,9,2,2.29556666666667
1319,Accuracy,80,5,0.404969736842105,55.85,4,9,0.5451
1070,Accuracy,80,5,0.25489235380117004,105.97,4,6,0.7840714285714291
1729,Accuracy,80,5,0.258833157894737,87.98,7,4,1.2505600000000001
1017,Accuracy,80,5,0.38790115497076,106.17,11,3,2.221625
1738,Accuracy,80,5,0.258833157894737,103.77,6,3,1.34835
1774,Accuracy,80,5,0.22610026315789497,94.81,5,5,1.10478333333333
1019,Accuracy,80,5,0.38790115497076,122.24,8,3,2.460175
1624,Accuracy,80,5,0.211221578947368,99.29,14,1,2.75795
1314,Accuracy,80,5,0.404969736842105,67.24,3,11,0.514716666666666
1911,Accuracy,80,5,0.289582368421053,150.61,10,3,1.83815
1379,Accuracy,80,5,0.44272789473684204,101.32,4,12,0.8247923076923069
