,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
725,Speed,120,5,0.18430421052631601,85.34,20,0,4.5782
1905,Accuracy,80,5,0.289582368421053,79.76,8,3,1.6973
1263,Accuracy,80,5,0.22363078947368398,84.18,7,2,2.3726333333333303
1739,Accuracy,80,5,0.258833157894737,62.45,5,5,1.43301666666667
1490,Accuracy,80,5,0.4030171052631579,94.89,6,4,1.9541400000000002
1074,Accuracy,80,5,0.25489235380117004,59.52,4,5,0.7999333333333329
1901,Accuracy,80,5,0.289582368421053,96.35,10,2,2.55396666666667
1004,Accuracy,80,5,0.38790115497076,126.96,9,2,2.72696666666667
1622,Accuracy,80,5,0.211221578947368,64.81,10,1,2.7297
1906,Accuracy,80,5,0.289582368421053,67.72,11,2,1.91186666666667
1361,Accuracy,80,5,0.44272789473684204,95.22,3,9,1.1557600000000001
1362,Accuracy,80,5,0.44272789473684204,86.49,4,9,0.9924200000000001
1135,Accuracy,80,5,0.27560500000000004,87.05,3,8,0.6701
1302,Accuracy,80,5,0.404969736842105,108.36,9,3,2.13455
1485,Accuracy,80,5,0.4030171052631579,110.65,5,4,2.1887
1260,Accuracy,80,5,0.22363078947368398,83.05,8,2,2.0785
1318,Accuracy,80,5,0.404969736842105,64.71,4,8,0.649711111111111
1914,Accuracy,80,5,0.289582368421053,150.76,11,2,2.0804
1265,Accuracy,80,5,0.22363078947368398,97.76,7,2,2.1102333333333303
1628,Accuracy,80,5,0.211221578947368,93.26,10,2,1.9132333333333302
1373,Accuracy,80,5,0.44272789473684204,123.94,4,8,1.22425555555556
1625,Accuracy,80,5,0.211221578947368,87.46,12,2,2.10503333333333
1065,Accuracy,80,5,0.25489235380117004,73.24,4,8,0.7048222222222221
1489,Accuracy,80,5,0.4030171052631579,118.46,6,4,1.9297400000000002
1072,Accuracy,80,5,0.25489235380117004,83.2,4,5,0.87645
