TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
63,Speed,80,5,0.308553684,34.54858974,101.03,2.5,5,1.09925,1.7164,1.572728571,2.0605,7
64,Speed,80,5,0.308553684,23.68554702,101.5,2.5,3,1.0898625,1.5966,1.346957143,2.0594,7
65,Speed,80,5,0.308553684,33.66191038,89.5,3.333333333,6,1.28375,1.9684,1.18594,1.4461,5
66,Speed,80,5,0.308553684,36.18349301,100.02,2.857142857,4,1.180342857,1.8975,1.5713,2.6786,6
77,Speed,120,3,0.308553684,38.94838816,95.38,10,11,3.1282,3.6244,2.264,2.264,1
78,Speed,120,3,0.308553684,25.61679577,58.27,10,10,3.0778,3.4984,1.1013,1.1013,1
79,Speed,120,3,0.308553684,23.89654545,43.4,10,12,3.02645,3.1654,0.8079,0.8079,1
80,Speed,120,3,0.308553684,41.65507092,92.59,10,12,3.0129,3.7768,1.3931,1.3931,1
81,Speed,120,3,0.308553684,22.78650456,42.28,10,11,3.72825,3.8695,0.5173,0.5173,1
82,Speed,120,3,0.308553684,21.43886544,52.57,10,13,4.2538,6.5112,1.1025,1.1025,1
83,Speed,120,3,0.308553684,57.91561129,121.64,10,11,3.33965,3.438,2.1908,2.1908,1
84,Speed,120,3,0.308553684,28.28966997,81.64,10,11,3.4185,3.8212,1.5385,1.5385,1
85,Speed,120,3,0.308553684,23.14744118,45.94,10,11,3.716,3.717,1.467,1.467,1
86,Speed,120,3,0.308553684,20.05379822,44.96,6.666666667,7,2.262566667,2.4098,1.51235,1.5618,2
87,Speed,120,3,0.308553684,25.49431298,52.04,10,11,2.827,2.9372,1.0267,1.0267,1
88,Speed,120,3,0.308553684,26.9128254,60.76,10,11,3.4641,3.5619,1.1726,1.1726,1
89,Speed,120,3,0.308553684,28.46013986,66.87,10,11,3.0267,3.4113,1.6103,1.6103,1
90,Speed,120,3,0.308553684,24.5920202,54.16,10,13,3.26425,3.7439,1.0291,1.0291,1
91,Speed,120,3,0.308553684,24.10480712,54.36,6.666666667,12,2.395233333,4.1629,0.88185,1.1745,2
92,Speed,120,3,0.308553684,32.12111888,66.73,10,12,3.1507,3.4392,0.8803,0.8803,1
93,Speed,120,3,0.308553684,34.75315287,74.34,10,11,3.39335,4.3084,1.3204,1.3204,1
94,Speed,120,3,0.308553684,30.97586751,71.78,10,12,3.5507,4.4381,0.8112,0.8112,1
95,Speed,120,3,0.308553684,40.08037801,73.73,10,11,3.1129,3.473,1.464,1.464,1
96,Speed,120,3,0.308553684,23.14992982,61.42,10,11,3.1125,3.5346,0.9556,0.9556,1
107,Speed,80,5,0.197858158,47.62627986,117.32,6.666666667,9,1.8768,2.3661,1.5106,1.6434,2
108,Speed,80,5,0.197858158,28.60691318,72.3,6.666666667,12,2.0892,3.702,1.17175,1.3086,2
109,Speed,80,5,0.197858158,38.76024476,84.65,5,11,1.409775,2.8439,0.806966667,1.1046,3
110,Speed,80,5,0.197858158,40.7040339,97.12,4,11,1.1311,2.2859,0.86365,1.3073,4
111,Speed,80,5,0.197858158,49.04458042,114.09,5,13,1.592566667,2.9495,-1.845366667,1.6516,2
112,Speed,80,5,0.197858158,30.38832258,71.24,5,9,1.486125,2.3577,1.034233333,1.3773,3
113,Speed,80,5,0.197858158,23.6612628,49.11,6.666666667,9,2.003833333,2.4325,0.9324,1.0355,2
114,Speed,80,5,0.197858158,32.10732558,68.36,6.666666667,8,1.711966667,2.2665,0.96605,1.0343,2
115,Speed,80,5,0.197858158,32.5389521,104.24,5,6,1.59155,1.8506,1.2162,1.7851,3
116,Speed,80,5,0.197858158,27.43390476,69.2,5,6,1.549825,1.7892,0.988066667,1.0333,3
117,Speed,80,5,0.197858158,24.67424138,55.97,4,9,1.13236,2.2276,0.812475,1.3093,4
118,Speed,80,5,0.197858158,43.53866906,93.51,6.666666667,9,1.829566667,2.6442,1.13765,1.2409,2
119,Speed,80,5,0.197858158,42.77890977,109.97,6.666666667,8,1.808033333,2.2069,1.0338,1.3081,2
120,Speed,80,5,0.197858158,38.99874598,94.83,6.666666667,9,2.082833333,2.2115,1.13775,1.1726,2
121,Speed,80,5,0.197858158,55.54358362,124.97,6.666666667,9,1.769466667,2.0044,1.9241,2.2649,2
122,Speed,80,5,0.197858158,31.39408907,90.06,10,12,2.6507,2.8634,0.8988,0.8988,1
123,Speed,80,5,0.197858158,45.73546243,100.06,5,7,1.59865,1.9545,1.4464,1.7201,3
124,Speed,80,5,0.197858158,70.90213058,140.87,6.666666667,10,1.8033,2.3325,1.7121,2.8697,2
125,Speed,80,5,0.197858158,42.01970213,102.62,10,10,2.40065,2.7951,1.4455,1.4455,1
126,Speed,80,5,0.197858158,26.45233962,63.39,6.666666667,13,1.8194,2.7422,0.761,0.966,2
17,Speed,120,3,0.197858158,24.77660633,54.63,10,11,2.4284,2.7512,0.2988,0.2988,1
18,Speed,120,3,0.197858158,57.36366366,95.24,5,11,1.62395,3.0993,1.124533333,2.6302,3
19,Speed,120,3,0.197858158,18.3484965,44.46,6.666666667,10,1.8638,2.7704,1.3569,1.6129,2
20,Speed,120,3,0.197858158,22.81053279,43.78,6.666666667,11,1.593766667,2.4435,1.06635,1.3223,2
