,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
487,Speed,120,5,0.28634421052631603,104.16,9,4,1.12584
589,Speed,120,5,0.264108157894737,112.24,11,1,3.14175
724,Speed,120,5,0.18430421052631601,172.8,20,0,4.8048
34,Speed,120,5,0.30855368421052604,52.7,13,2,2.16316666666667
594,Speed,120,5,0.264108157894737,176.1,12,1,3.05615
498,Speed,120,5,0.28634421052631603,156.15,13,2,2.15683333333333
179,Speed,120,5,0.39388921052631604,102.58,4,7,1.1613125
28,Speed,120,5,0.30855368421052604,129.99,7,3,1.641225
868,Speed,120,5,0.394169473684211,177.93,8,6,1.3940714285714297
367,Speed,120,5,0.316916315789474,113.69,6,4,1.8712
869,Speed,120,5,0.394169473684211,68.6,6,3,2.161225
599,Speed,120,5,0.264108157894737,107.51,12,1,3.15145
362,Speed,120,5,0.316916315789474,105.93,6,4,1.48996
146,Speed,120,5,0.197858157894737,118.11,20,1,2.4386
490,Speed,120,5,0.28634421052631603,140.16,16,2,2.01353333333333
727,Speed,120,5,0.18430421052631601,85.06,20,0,4.4501
171,Speed,120,5,0.39388921052631604,136.16,9,3,2.792175
166,Speed,120,5,0.39388921052631604,161.07,9,3,2.3099
726,Speed,120,5,0.18430421052631601,87.1,20,0,4.4732
672,Speed,120,5,0.184142105263158,88.19,20,0,5.2975
473,Speed,120,5,0.38419394736842105,90.45,12,1,3.84105
591,Speed,120,5,0.264108157894737,111.51,11,1,3.39145
372,Speed,120,5,0.316916315789474,104.26,5,6,1.09492857142857
476,Speed,120,5,0.38419394736842105,71.83,11,1,3.28985
1800,Accuracy,80,3,0.22610026315789497,79.11,16,1,2.78895
1118,Accuracy,80,3,0.25489235380117004,82.32,4,7,0.6908125
1356,Accuracy,80,3,0.404969736842105,60.88,3,8,0.533166666666666
1457,Accuracy,80,3,0.4030171052631579,80.47,7,3,2.571625
1177,Accuracy,80,3,0.27560500000000004,50.24,7,2,1.90273333333333
1690,Accuracy,80,3,0.258833157894737,56.86,8,4,1.17606
