,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1229,80,3,0.223630789,40.5366759,75.84,6.666666667,13,2.3637666669999997,4.3062,1.7189,1.7863,2,-0.6028859947123797,Accuracy,26,Accuracy,False
1352,80,3,0.40496973700000005,30.47557994,69.59,3.333333333,9,1.0403166670000001,3.647,0.66506,0.9658,5,0.04923489642076717,Accuracy,89,Speed,False
973,80,3,0.387901155,30.09030303,66.17,6.666666667,8,2.8264,3.6575,4.53075,4.8731,2,-3.0693735639896182,Accuracy,120,Accuracy,False
1804,80,3,0.226100263,52.84512915,107.29,10.0,12,2.7764,3.3526,1.7878,1.7878,1,-0.9995971647228918,Accuracy,51,Accuracy,False
977,80,3,0.387901155,37.24322702,72.95,4.0,7,1.6639,2.678,2.97475,3.9992,4,-2.148152345858403,Accuracy,124,Accuracy,False
1119,80,3,0.254892354,25.48689781,56.15,3.333333333,4,0.7920166670000001,1.6495,0.74726,1.0341,5,-1.1149555307690857,Accuracy,96,Accuracy,False
1116,80,3,0.254892354,29.07964567,57.05,2.857142857,4,0.641742857,1.1194,0.612,0.7605,6,-1.5641047998512398,Accuracy,93,Accuracy,False
1874,80,3,0.28958236800000003,24.04333333,64.58,6.666666667,11,2.5379,3.5245,0.9331,1.5151,2,0.402028532778667,Accuracy,31,Speed,False
1414,80,3,0.442727895,24.87905694,68.67,3.333333333,5,1.68395,2.6001,1.7619599999999997,2.0631,5,-1.2617943636746443,Accuracy,61,Accuracy,False
1877,80,3,0.28958236800000003,25.37586667,58.29,10.0,11,4.18005,4.4687,1.1739,1.1739,1,1.599824144406222,Accuracy,34,Speed,False
1542,80,3,0.451450497,27.76164329,50.42,6.666666667,9,3.469166667,4.9876,2.03815,2.8167,2,-1.7435419508736967,Accuracy,19,Accuracy,False
1868,80,3,0.28958236800000003,30.47043353,67.4,6.666666667,8,2.3525333330000002,2.7587,1.3786,1.7904,2,-0.681864855509458,Accuracy,25,Accuracy,False
