,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
1708,Accuracy,120,5,0.258833157894737,130.47,12,1,3.65745
1528,Accuracy,120,5,0.4514504970760229,90.51,4,7,1.055425
1827,Accuracy,120,5,0.22610026315789497,76.59,11,1,2.1506
1335,Accuracy,120,5,0.404969736842105,123.96,11,3,1.322825
1422,Accuracy,120,5,0.44272789473684204,77.55,5,5,1.54345
984,Accuracy,120,5,0.38790115497076,147.23,7,3,2.603375
1187,Accuracy,120,5,0.27560500000000004,99.8,9,2,2.0715333333333303
1521,Accuracy,120,5,0.4514504970760229,166.16,6,6,1.1689
1199,Accuracy,120,5,0.27560500000000004,92.62,6,3,1.69915
993,Accuracy,120,5,0.38790115497076,89.69,9,3,2.3274
1847,Accuracy,120,5,0.289582368421053,146.54,12,2,2.9743
1844,Accuracy,120,5,0.289582368421053,111.82,12,1,3.27815
1477,Accuracy,120,5,0.4030171052631579,146.73,6,4,1.8388400000000003
1858,Accuracy,120,5,0.289582368421053,71.45,7,3,1.922525
1327,Accuracy,120,5,0.404969736842105,84.22,3,9,0.60553
1702,Accuracy,120,5,0.258833157894737,154.91,6,8,1.5424666666666698
1321,Accuracy,120,5,0.404969736842105,91.64,10,3,1.972525
995,Accuracy,120,5,0.38790115497076,144.53,10,1,3.9001
1209,Accuracy,120,5,0.22363078947368398,72.58,8,2,1.9794666666666698
1718,Accuracy,120,5,0.258833157894737,65.29,12,1,3.1144
1326,Accuracy,120,5,0.404969736842105,195.82,14,1,3.7525
1709,Accuracy,120,5,0.258833157894737,112.92,12,2,1.8045
1338,Accuracy,120,5,0.404969736842105,80.22,9,3,1.885575
1195,Accuracy,120,5,0.27560500000000004,93.17,11,2,2.11373333333333
1014,Accuracy,80,5,0.38790115497076,126.2,6,3,2.226675
1498,Accuracy,80,5,0.4030171052631579,107.91,5,5,1.8499166666666698
1900,Accuracy,80,5,0.289582368421053,63.91,9,2,2.16306666666667
1279,Accuracy,80,5,0.22363078947368398,74.69,10,2,1.9698333333333302
1009,Accuracy,80,5,0.38790115497076,126.97,4,6,1.4045
1317,Accuracy,80,5,0.404969736842105,76.29,4,10,0.5579636363636371
1126,Accuracy,80,5,0.27560500000000004,84.14,8,3,1.39175
1771,Accuracy,80,5,0.22610026315789497,64.21,8,3,1.3487
1364,Accuracy,80,5,0.44272789473684204,64.62,3,13,0.8626
1736,Accuracy,80,5,0.258833157894737,105.29,6,4,1.3053
1487,Accuracy,80,5,0.4030171052631579,139.97,4,5,1.76313333333333
1270,Accuracy,80,5,0.22363078947368398,104.19,5,3,1.554075
1627,Accuracy,80,5,0.211221578947368,92.22,9,3,1.632625
1629,Accuracy,80,5,0.211221578947368,106.15,11,2,1.6450333333333302
1584,Accuracy,80,5,0.4514504970760229,71.3,3,7,1.3243875
1316,Accuracy,80,5,0.404969736842105,102.56,3,10,0.4989
1075,Accuracy,80,5,0.25489235380117004,55.26,4,5,0.938466666666667
1480,Accuracy,80,5,0.4030171052631579,86.3,5,5,1.9842166666666698
1484,Accuracy,80,5,0.4030171052631579,104.61,7,3,2.35935
1916,Accuracy,80,5,0.289582368421053,116.73,7,3,1.95235
1313,Accuracy,80,5,0.404969736842105,104.13,3,8,0.646633333333333
1730,Accuracy,80,5,0.258833157894737,63.32,7,4,1.07008
1003,Accuracy,80,5,0.38790115497076,105.2,6,4,1.9074400000000002
1012,Accuracy,80,5,0.38790115497076,108.19,8,2,3.26756666666667
1812,Accuracy,80,3,0.22610026315789497,37.18,11,1,2.3134
1873,Accuracy,80,3,0.289582368421053,57.74,11,2,2.2696
1119,Accuracy,80,3,0.25489235380117004,56.15,4,5,0.792016666666667
1409,Accuracy,80,3,0.44272789473684204,52.37,5,4,1.9287
1862,Accuracy,80,3,0.289582368421053,93.77,10,2,2.19373333333333
1223,Accuracy,80,3,0.22363078947368398,61.25,10,2,2.32796666666667
1355,Accuracy,80,3,0.404969736842105,100.95,13,7,0.9183625
1664,Accuracy,80,3,0.211221578947368,45.6,9,4,1.12612
1174,Accuracy,80,3,0.27560500000000004,65.75,9,2,2.3615333333333304
1353,Accuracy,80,3,0.404969736842105,48.43,9,4,1.06386
1876,Accuracy,80,3,0.289582368421053,91.53,9,2,2.47803333333333
1400,Accuracy,80,3,0.44272789473684204,65.15,7,7,1.5768125
978,Accuracy,80,3,0.38790115497076,74.03,6,4,1.6091799999999998
1347,Accuracy,80,3,0.404969736842105,59.56,3,7,0.73965
1676,Accuracy,80,3,0.211221578947368,39.18,9,2,1.3788666666666698
1108,Accuracy,80,3,0.25489235380117004,80.99,5,5,0.92495
1410,Accuracy,80,3,0.44272789473684204,87.02,6,5,1.88766666666667
1540,Accuracy,80,3,0.4514504970760229,67.65,7,3,2.983225
1221,Accuracy,80,3,0.22363078947368398,107.12,9,2,2.1116
1106,Accuracy,80,3,0.25489235380117004,52.2,4,5,1.1947
1225,Accuracy,80,3,0.22363078947368398,85.0,11,2,2.02006666666667
1871,Accuracy,80,3,0.289582368421053,78.2,10,2,2.51106666666667
1169,Accuracy,80,3,0.27560500000000004,45.12,12,1,3.07785
1670,Accuracy,80,3,0.211221578947368,56.18,7,3,1.164075
541,Speed,80,5,0.28634421052631603,75.92,7,3,1.85715
96,Speed,80,5,0.197858157894737,100.06,7,3,1.59865
603,Speed,80,5,0.264108157894737,156.26,11,1,3.29425
618,Speed,80,5,0.264108157894737,99.86,12,1,3.26185
234,Speed,80,5,0.39388921052631604,97.68,5,5,1.43083333333333
273,Speed,80,5,0.469810526315789,146.17,5,10,1.6934272727272701
808,Speed,80,5,0.394169473684211,141.31,7,3,2.662425
691,Speed,80,5,0.184142105263158,75.31,20,0,4.5202
812,Speed,80,5,0.394169473684211,107.01,14,1,4.0278
419,Speed,80,5,0.38419394736842105,96.68,9,2,2.4124333333333303
799,Speed,80,5,0.18430421052631601,57.14,15,1,2.253
269,Speed,80,5,0.469810526315789,79.34,4,9,2.05058
224,Speed,80,5,0.39388921052631604,125.03,5,8,1.25884444444444
789,Speed,80,5,0.18430421052631601,92.46,20,0,4.2296
817,Speed,80,5,0.394169473684211,91.13,8,2,2.9019333333333304
414,Speed,80,5,0.38419394736842105,117.58,7,2,2.0608
59,Speed,80,5,0.30855368421052604,100.02,4,6,1.1803428571428602
689,Speed,80,5,0.184142105263158,138.96,17,1,2.22705
809,Speed,80,5,0.394169473684211,123.96,10,3,2.01575
52,Speed,80,5,0.30855368421052604,95.96,6,5,1.15091666666667
606,Speed,80,5,0.264108157894737,118.19,8,2,2.38816666666667
236,Speed,80,5,0.39388921052631604,111.62,5,6,1.3646857142857098
44,Speed,80,5,0.30855368421052604,108.21,6,4,1.7708
51,Speed,80,5,0.30855368421052604,82.46,6,4,1.2454
24,Speed,120,5,0.30855368421052604,93.18,9,3,1.63495
588,Speed,120,5,0.264108157894737,118.36,14,1,3.327
283,Speed,120,5,0.469810526315789,110.61,7,4,2.3898599999999997
177,Speed,120,5,0.39388921052631604,79.82,9,3,2.3352
678,Speed,120,5,0.184142105263158,154.91,20,0,4.9004
479,Speed,120,5,0.38419394736842105,103.82,11,1,3.3786
35,Speed,120,5,0.30855368421052604,128.56,13,2,2.0795666666666697
178,Speed,120,5,0.39388921052631604,110.31,7,5,1.78385
281,Speed,120,5,0.469810526315789,151.68,6,5,2.25876666666667
937,Speed,120,5,0.38239945906432704,92.75,6,4,2.28382
32,Speed,120,5,0.30855368421052604,141.79,9,3,1.741075
732,Speed,120,5,0.18430421052631601,128.39,20,0,4.9121
861,Speed,120,5,0.394169473684211,170.5,15,2,2.85273333333333
471,Speed,120,5,0.38419394736842105,93.9,12,1,2.95245
920,Speed,120,5,0.38239945906432704,99.24,7,3,2.6195
142,Speed,120,5,0.197858157894737,167.95,20,2,1.5708
736,Speed,120,5,0.18430421052631601,195.67,20,0,4.5016
27,Speed,120,5,0.30855368421052604,96.01,6,4,1.4638200000000001
675,Speed,120,5,0.184142105263158,51.96,11,1,2.60335
378,Speed,120,5,0.316916315789474,67.98,9,3,1.9184
865,Speed,120,5,0.394169473684211,150.09,6,4,2.09016
161,Speed,120,5,0.39388921052631604,143.92,8,3,2.022675
461,Speed,120,5,0.38419394736842105,91.49,13,1,2.9636
493,Speed,120,5,0.28634421052631603,113.95,9,2,1.9807333333333301
1752,Accuracy,120,3,0.258833157894737,56.12,11,2,1.9702333333333302
