,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow,PayOffFunction,d
1275,80,5,0.22363078947368398,82.44,6,3,1.297775,Accuracy,-1.0259879632126427
1635,80,5,0.211221578947368,93.06,6,3,1.261325,Accuracy,-0.9594072469831332
1686,80,3,0.258833157894737,85.1,9,2,1.83746666666667,Accuracy,-0.3576106949099227
1870,80,3,0.289582368421053,59.58,7,2,2.6769,Accuracy,-0.9764303627366786
571,80,3,0.264108157894737,137.42,20,0,5.901,Speed,5.268098872701998
659,80,3,0.184142105263158,109.68,20,0,4.1718,Speed,4.115996692207304
555,80,5,0.28634421052631603,126.19,9,2,2.45276666666667,Speed,1.0791258536860227
785,80,5,0.18430421052631601,170.67,20,0,5.0546,Speed,5.765474400913703
1423,120,5,0.44272789473684204,109.52,5,5,1.67588333333333,Accuracy,-1.2590915419628033
1829,120,5,0.22610026315789497,115.78,8,2,1.8110333333333302,Accuracy,-1.0089088430745647
1287,120,3,0.404969736842105,63.27,10,4,1.25492,Accuracy,-1.0342144084338685
1511,120,3,0.4030171052631579,83.3,7,2,2.82853333333333,Accuracy,-1.430597870325542
722,120,5,0.18430421052631601,58.61,20,0,4.0466,Speed,2.949591086618497
467,120,5,0.38419394736842105,144.59,10,1,3.3153,Speed,1.036950684233929
66,120,3,0.30855368421052604,121.64,11,1,3.33965,Speed,0.17626113519644093
322,120,3,0.316916315789474,96.1,20,0,8.0772,Speed,4.452180818357633
257,120,3,0.469810526315789,99.05,20,0,9.9167,Speed,5.619939333404076
330,120,3,0.316916315789474,124.24,20,0,7.4464,Speed,4.586581826786173
1334,120,5,0.404969736842105,98.24,8,6,0.9231857142857142,Accuracy,-0.689075578475709
1531,120,5,0.4514504970760229,106.3,5,6,1.47288571428571,Accuracy,-1.2934414971446273
1665,80,3,0.211221578947368,53.72,8,3,1.242075,Accuracy,-1.3970046335803232
1456,80,3,0.4030171052631579,53.32,6,3,2.421725,Accuracy,-1.0199240534189045
85,80,5,0.197858157894737,71.24,9,3,1.486125,Speed,-0.15449768835107136
906,80,5,0.38239945906432704,81.32,9,3,2.277425,Speed,0.8918729682131783
480,120,5,0.28634421052631603,67.59,7,3,1.574825,Speed,-1.733309605048376
585,120,5,0.264108157894737,122.71,13,1,3.1883,Speed,1.3365533972041561
1123,80,5,0.27560500000000004,56.69,4,5,1.08056666666667,Accuracy,-1.826981923505187
1488,80,5,0.4030171052631579,97.94,4,6,1.6353857142857098,Accuracy,-0.6687339609257066
853,80,3,0.394169473684211,58.31,14,1,4.02595,Speed,2.205395488178951
946,80,3,0.38239945906432704,46.65,13,2,2.6936666666666698,Speed,1.3027341696228945
1240,120,3,0.22363078947368398,90.28,13,1,3.21775,Accuracy,0.1508118311698894
1390,120,3,0.44272789473684204,77.11,5,4,2.31422,Accuracy,-2.1402873063693875
514,80,3,0.28634421052631603,78.8,12,2,2.4027,Speed,0.8848214303957178
451,80,3,0.38419394736842105,60.79,10,1,3.2536,Speed,0.5732291614344689
1759,120,3,0.258833157894737,80.59,10,2,1.98656666666667,Accuracy,-1.2166262111336579
1041,120,3,0.25489235380117004,61.38,12,1,2.8756,Accuracy,-0.5219908579515646
998,120,5,0.38790115497076,116.27,11,2,2.7779,Accuracy,0.9350697212152994
1333,120,5,0.404969736842105,87.16,8,4,1.2845,Accuracy,-0.7736703397590787
867,120,5,0.394169473684211,122.5,6,4,2.09512,Speed,-0.8457615666907401
462,120,5,0.38419394736842105,73.59,11,1,3.35335,Speed,0.5670810641254178
1815,80,3,0.22610026315789497,33.31,11,1,2.4625,Accuracy,-0.23112921501753192
1107,80,3,0.25489235380117004,55.01,5,6,0.954157142857143,Accuracy,-2.2486266192922955
1910,80,5,0.289582368421053,80.64,7,3,1.69745,Accuracy,-0.33246675231795564
1772,80,5,0.22610026315789497,101.18,5,4,1.2389,Accuracy,-1.1297773513129101
117,120,3,0.197858157894737,63.89,20,1,2.72875,Speed,2.0236175637487435
431,120,3,0.38419394736842105,73.49,12,1,4.37695,Speed,0.5610498380496978
914,80,5,0.38239945906432704,149.03,6,3,2.447275,Speed,0.6939186666217978
263,80,5,0.469810526315789,146.18,4,7,2.038825,Speed,0.29932338260685754
282,120,5,0.469810526315789,131.8,9,3,2.759925,Speed,0.7548677637182521
486,120,5,0.28634421052631603,111.29,9,4,1.27298,Speed,-0.5897728311306452
1762,80,5,0.22610026315789497,76.34,8,3,1.5363,Accuracy,-0.3213298362156962
1481,80,5,0.4030171052631579,79.47,6,5,1.8129166666666698,Accuracy,-0.16948606780216835
1868,80,3,0.289582368421053,67.4,8,2,2.35253333333333,Accuracy,-0.6382244768960987
1450,80,3,0.4030171052631579,72.47,5,4,2.70874,Accuracy,-1.0218055210775816
447,80,3,0.38419394736842105,77.05,11,1,3.7278,Speed,1.2553069167711186
454,80,3,0.38419394736842105,59.14,11,1,3.3044,Speed,0.916262264139263
1478,120,5,0.4030171052631579,115.17,5,6,1.59352857142857,Accuracy,-1.3328325326497321
