,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
270,Speed,80,5,0.469810526315789,106.57,3,8,1.5716888888888898
403,Speed,80,5,0.38419394736842105,106.71,7,2,2.1613
788,Speed,80,5,0.18430421052631601,97.98,13,1,2.4217
558,Speed,80,5,0.28634421052631603,81.75,11,2,1.9466
902,Speed,80,5,0.38239945906432704,144.9,6,4,1.9389
605,Speed,80,5,0.264108157894737,113.15,9,2,2.08693333333333
262,Speed,80,5,0.469810526315789,156.67,5,15,1.5624625
696,Speed,80,5,0.184142105263158,100.27,9,2,2.08343333333333
355,Speed,80,5,0.316916315789474,109.83,8,3,2.004775
266,Speed,80,5,0.469810526315789,138.19,5,8,1.93938888888889
815,Speed,80,5,0.394169473684211,106.56,11,2,2.26033333333333
797,Speed,80,5,0.18430421052631601,121.56,13,1,2.3678
905,Speed,80,5,0.38239945906432704,74.67,9,2,3.3369666666666697
274,Speed,80,5,0.469810526315789,134.23,4,9,1.6485900000000002
98,Speed,80,5,0.197858157894737,102.62,10,1,2.40065
550,Speed,80,5,0.28634421052631603,113.57,17,1,3.4811
409,Speed,80,5,0.38419394736842105,79.36,9,2,2.246
405,Speed,80,5,0.38419394736842105,120.38,9,2,2.06093333333333
807,Speed,80,5,0.394169473684211,91.2,5,4,1.93418
903,Speed,80,5,0.38239945906432704,72.64,6,4,2.1693599999999997
909,Speed,80,5,0.38239945906432704,156.09,6,4,2.2333
804,Speed,80,5,0.394169473684211,102.27,10,3,2.505025
279,Speed,80,5,0.469810526315789,110.48,5,7,1.6918125
351,Speed,80,5,0.316916315789474,65.04,7,5,1.26741666666667
735,Speed,120,5,0.18430421052631601,111.32,20,0,4.8785
160,Speed,120,5,0.39388921052631604,100.95,6,4,1.75958
470,Speed,120,5,0.38419394736842105,128.36,13,1,3.22715
163,Speed,120,5,0.39388921052631604,96.34,6,4,1.7971400000000002
926,Speed,120,5,0.38239945906432704,109.66,10,3,1.97275
592,Speed,120,5,0.264108157894737,130.65,14,1,3.39655
143,Speed,120,5,0.197858157894737,85.07,20,1,2.9146
366,Speed,120,5,0.316916315789474,120.19,5,5,1.3727833333333301
930,Speed,120,5,0.38239945906432704,110.69,9,3,2.203125
730,Speed,120,5,0.18430421052631601,159.66,20,0,4.5038
152,Speed,120,5,0.197858157894737,99.11,20,1,2.51665
292,Speed,120,5,0.469810526315789,120.2,7,3,2.897
932,Speed,120,5,0.38239945906432704,101.69,11,2,2.61856666666667
156,Speed,120,5,0.197858157894737,199.97,20,1,3.3159
368,Speed,120,5,0.316916315789474,98.74,4,6,1.1851
144,Speed,120,5,0.197858157894737,85.72,20,1,2.43485
875,Speed,120,5,0.394169473684211,120.7,8,3,2.7111
924,Speed,120,5,0.38239945906432704,67.1,7,3,2.397725
286,Speed,120,5,0.469810526315789,114.51,8,5,1.9716833333333301
593,Speed,120,5,0.264108157894737,126.19,13,1,3.07835
860,Speed,120,5,0.394169473684211,145.74,7,3,2.929125
290,Speed,120,5,0.469810526315789,103.04,6,4,2.66436
31,Speed,120,5,0.30855368421052604,101.61,8,3,1.9674
674,Speed,120,5,0.184142105263158,121.52,20,0,4.3971
1798,Accuracy,120,3,0.22610026315789497,42.54,12,1,2.6284
1615,Accuracy,120,3,0.211221578947368,50.88,11,1,2.3069
1505,Accuracy,120,3,0.4030171052631579,91.65,9,3,2.398275
1156,Accuracy,120,3,0.27560500000000004,63.0,20,0,7.4457
1386,Accuracy,120,3,0.44272789473684204,119.45,9,3,3.3426
1503,Accuracy,120,3,0.4030171052631579,77.01,10,2,3.34486666666667
1787,Accuracy,120,3,0.22610026315789497,75.78,20,0,4.0691
1515,Accuracy,120,3,0.4030171052631579,50.86,9,2,3.5858
1280,Accuracy,120,3,0.404969736842105,46.1,11,2,2.27453333333333
1574,Accuracy,120,3,0.4514504970760229,75.14,11,1,3.87445
1757,Accuracy,120,3,0.258833157894737,92.1,11,2,2.01216666666667
1575,Accuracy,120,3,0.4514504970760229,60.07,11,1,4.9123
1895,Accuracy,120,3,0.289582368421053,44.34,20,0,6.4992
1742,Accuracy,120,3,0.258833157894737,46.69,10,1,2.3762
1512,Accuracy,120,3,0.4030171052631579,72.1,7,2,4.03863333333333
1255,Accuracy,120,3,0.22363078947368398,72.96,10,1,2.61445
1891,Accuracy,120,3,0.289582368421053,97.64,20,0,5.8205
1283,Accuracy,120,3,0.404969736842105,44.12,13,3,1.36015
1749,Accuracy,120,3,0.258833157894737,80.52,10,2,2.4069
1247,Accuracy,120,3,0.22363078947368398,68.95,14,1,2.5666
1793,Accuracy,120,3,0.22610026315789497,46.93,12,1,3.4394
1397,Accuracy,120,3,0.44272789473684204,64.72,9,3,2.80775
1286,Accuracy,120,3,0.404969736842105,44.43,3,9,0.536
1288,Accuracy,120,3,0.404969736842105,75.75,11,3,1.3925
1684,Accuracy,80,3,0.258833157894737,43.5,9,2,1.8539
1680,Accuracy,80,3,0.258833157894737,100.12,20,0,5.5531
1559,Accuracy,80,3,0.4514504970760229,123.29,6,4,2.15358
977,Accuracy,80,3,0.38790115497076,72.95,7,4,1.6639
1348,Accuracy,80,3,0.404969736842105,47.97,3,9,0.49983
1343,Accuracy,80,3,0.404969736842105,60.23,10,4,1.1797600000000001
1418,Accuracy,80,3,0.44272789473684204,106.57,5,5,2.0513833333333302
1359,Accuracy,80,3,0.404969736842105,51.18,9,4,0.9744799999999999
1668,Accuracy,80,3,0.211221578947368,61.7,5,3,1.1415
1340,Accuracy,80,3,0.404969736842105,60.31,9,7,0.9635875
1352,Accuracy,80,3,0.404969736842105,69.59,9,5,1.0403166666666699
1452,Accuracy,80,3,0.4030171052631579,74.6,6,3,2.881725
1693,Accuracy,80,3,0.258833157894737,46.84,7,3,1.341575
1168,Accuracy,80,3,0.27560500000000004,67.13,8,2,2.38126666666667
1441,Accuracy,80,3,0.4030171052631579,108.19,11,2,3.261
1341,Accuracy,80,3,0.404969736842105,77.64,8,4,1.21386
1677,Accuracy,80,3,0.211221578947368,42.69,10,2,1.4287
1691,Accuracy,80,3,0.258833157894737,47.35,6,3,1.780975
1176,Accuracy,80,3,0.27560500000000004,85.31,7,2,1.8716333333333302
1554,Accuracy,80,3,0.4514504970760229,55.8,9,2,3.9696333333333302
1685,Accuracy,80,3,0.258833157894737,48.87,8,2,1.8696
1357,Accuracy,80,3,0.404969736842105,67.47,4,6,0.683971428571429
1230,Accuracy,80,3,0.22363078947368398,62.4,15,1,3.3661
1866,Accuracy,80,3,0.289582368421053,91.13,8,2,2.60383333333333
1424,Accuracy,120,5,0.44272789473684204,91.47,5,5,1.84478333333333
1320,Accuracy,120,5,0.404969736842105,122.53,12,2,2.35386666666667
1850,Accuracy,120,5,0.289582368421053,136.99,9,2,2.20366666666667
1205,Accuracy,120,5,0.22363078947368398,68.14,7,2,1.9401333333333302
1182,Accuracy,120,5,0.27560500000000004,123.29,10,2,1.9294
1659,Accuracy,120,5,0.211221578947368,50.67,8,3,1.334125
1717,Accuracy,120,5,0.258833157894737,85.05,14,1,2.8276
1188,Accuracy,120,5,0.27560500000000004,56.61,9,2,1.7784
1204,Accuracy,120,5,0.22363078947368398,119.26,9,2,1.56183333333333
1332,Accuracy,120,5,0.404969736842105,74.68,6,3,1.67285
1337,Accuracy,120,5,0.404969736842105,83.56,12,2,2.0883
1331,Accuracy,120,5,0.404969736842105,72.58,5,6,0.7741
1703,Accuracy,120,5,0.258833157894737,134.28,7,5,1.6483666666666699
997,Accuracy,120,5,0.38790115497076,134.82,11,2,3.05776666666667
1474,Accuracy,120,5,0.4030171052631579,137.8,6,4,2.299
1855,Accuracy,120,5,0.289582368421053,95.83,7,2,2.66973333333333
1642,Accuracy,120,5,0.211221578947368,79.51,7,2,1.5412333333333301
1700,Accuracy,120,5,0.258833157894737,118.72,7,4,1.61962
1465,Accuracy,120,5,0.4030171052631579,156.26,6,4,2.6842599999999996
1185,Accuracy,120,5,0.27560500000000004,72.28,9,2,1.85433333333333
1436,Accuracy,120,5,0.44272789473684204,112.21,5,7,1.2929625
1653,Accuracy,120,5,0.211221578947368,123.61,6,3,1.1508
1647,Accuracy,120,5,0.211221578947368,92.3,7,2,1.4880666666666698
1704,Accuracy,120,5,0.258833157894737,107.26,6,9,1.19661
208,Speed,120,3,0.39388921052631604,54.09,17,1,4.33935
213,Speed,120,3,0.39388921052631604,100.18,8,3,2.4787
119,Speed,120,3,0.197858157894737,66.98,20,1,2.76305
823,Speed,120,3,0.394169473684211,41.15,11,1,5.6383
64,Speed,120,3,0.30855368421052604,42.28,11,1,3.72825
424,Speed,120,3,0.38419394736842105,51.26,14,1,3.7559
320,Speed,120,3,0.316916315789474,53.15,20,0,6.622999999999999
79,Speed,120,3,0.30855368421052604,61.42,11,1,3.1125
829,Speed,120,3,0.394169473684211,110.14,16,1,4.7286
422,Speed,120,3,0.38419394736842105,68.66,14,1,4.69515
328,Speed,120,3,0.316916315789474,64.18,20,0,7.4239999999999995
246,Speed,120,3,0.469810526315789,86.6,20,0,9.3679
631,Speed,120,3,0.264108157894737,80.33,20,0,6.3518
770,Speed,120,3,0.18430421052631601,89.12,20,0,4.0452
825,Speed,120,3,0.394169473684211,152.82,13,1,5.49255
331,Speed,120,3,0.316916315789474,94.04,20,0,6.2043
708,Speed,120,3,0.184142105263158,68.16,20,0,4.7725
833,Speed,120,3,0.394169473684211,111.42,9,2,3.78443333333333
321,Speed,120,3,0.316916315789474,119.27,20,0,6.8412
252,Speed,120,3,0.469810526315789,87.55,20,0,9.1943
217,Speed,120,3,0.39388921052631604,98.74,12,2,3.09436666666667
527,Speed,120,3,0.28634421052631603,82.09,20,0,7.1343
532,Speed,120,3,0.28634421052631603,82.74,20,0,7.2544
711,Speed,120,3,0.184142105263158,65.93,20,0,4.2986
385,Speed,80,3,0.316916315789474,77.21,8,4,1.94022
382,Speed,80,3,0.316916315789474,52.75,5,6,1.1295571428571398
841,Speed,80,3,0.394169473684211,102.59,20,1,5.39925
8,Speed,80,3,0.30855368421052604,70.15,11,1,2.93675
443,Speed,80,3,0.38419394736842105,62.1,11,1,3.64205
752,Speed,80,3,0.18430421052631601,48.25,20,0,4.4496
641,Speed,80,3,0.184142105263158,42.37,13,1,2.2392
855,Speed,80,3,0.394169473684211,75.23,7,2,3.34206666666667
444,Speed,80,3,0.38419394736842105,128.52,10,1,4.52545
306,Speed,80,3,0.469810526315789,91.94,6,4,2.58906
123,Speed,80,3,0.197858157894737,70.11,20,4,1.3843
952,Speed,80,3,0.38239945906432704,63.67,8,3,2.196375
647,Speed,80,3,0.184142105263158,43.74,20,0,4.0991
6,Speed,80,3,0.30855368421052604,69.58,10,3,1.928625
190,Speed,80,3,0.39388921052631604,131.28,18,1,4.1386
122,Speed,80,3,0.197858157894737,102.61,20,0,6.1079
