,PayOffFunction,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow
973,Accuracy,80,3,0.38790115497076,66.17,8,2,2.8264
1803,Accuracy,80,3,0.22610026315789497,67.41,12,1,2.7880000000000003
1229,Accuracy,80,3,0.22363078947368398,75.84,13,2,2.36376666666667
1555,Accuracy,80,3,0.4514504970760229,75.08,7,4,2.7983599999999997
1682,Accuracy,80,3,0.258833157894737,77.82,5,4,1.4108399999999999
1104,Accuracy,80,3,0.25489235380117004,53.51,5,5,0.952633333333333
1816,Accuracy,80,3,0.22610026315789497,76.33,13,1,2.72885
1239,Accuracy,80,3,0.22363078947368398,67.92,7,2,2.49753333333333
1875,Accuracy,80,3,0.289582368421053,59.21,7,4,1.9384
1697,Accuracy,80,3,0.258833157894737,72.78,7,3,1.580675
1440,Accuracy,80,3,0.4030171052631579,53.02,8,2,3.6703
1811,Accuracy,80,3,0.22610026315789497,48.59,10,1,2.37785
1671,Accuracy,80,3,0.211221578947368,50.62,8,2,1.2448
1542,Accuracy,80,3,0.4514504970760229,50.42,9,2,3.46916666666667
1667,Accuracy,80,3,0.211221578947368,55.67,6,3,1.059525
1114,Accuracy,80,3,0.25489235380117004,61.04,3,7,0.5203375
1459,Accuracy,80,3,0.4030171052631579,57.12,5,4,1.97386
1548,Accuracy,80,3,0.4514504970760229,78.16,9,2,3.4031333333333302
1442,Accuracy,80,3,0.4030171052631579,59.68,7,3,2.47705
1687,Accuracy,80,3,0.258833157894737,75.68,7,3,1.472325
1178,Accuracy,80,3,0.27560500000000004,39.09,8,2,1.9060333333333301
1809,Accuracy,80,3,0.22610026315789497,38.76,12,1,2.38695
1354,Accuracy,80,3,0.404969736842105,79.44,12,3,1.272775
1553,Accuracy,80,3,0.4514504970760229,74.33,9,2,3.1442
1732,Accuracy,80,5,0.258833157894737,66.35,9,2,1.70446666666667
1497,Accuracy,80,5,0.4030171052631579,103.67,3,6,1.75712857142857
1315,Accuracy,80,5,0.404969736842105,105.69,4,10,0.621463636363636
1599,Accuracy,80,5,0.4514504970760229,90.86,3,17,0.587861111111111
1369,Accuracy,80,5,0.44272789473684204,95.91,3,10,1.0988272727272699
1370,Accuracy,80,5,0.44272789473684204,86.88,2,12,0.912853846153847
1763,Accuracy,80,5,0.22610026315789497,70.06,6,3,1.353725
1013,Accuracy,80,5,0.38790115497076,157.59,13,1,4.01425
1360,Accuracy,80,5,0.44272789473684204,97.49,3,10,1.1534
1580,Accuracy,80,5,0.4514504970760229,81.68,5,5,1.4628833333333302
1371,Accuracy,80,5,0.44272789473684204,99.5,4,8,1.10206666666667
1764,Accuracy,80,5,0.22610026315789497,64.17,8,3,1.382675
1773,Accuracy,80,5,0.22610026315789497,73.15,6,5,0.975816666666667
1073,Accuracy,80,5,0.25489235380117004,67.79,4,5,0.954216666666667
1304,Accuracy,80,5,0.404969736842105,99.95,3,8,0.8087
1733,Accuracy,80,5,0.258833157894737,78.79,9,3,1.599675
1125,Accuracy,80,5,0.27560500000000004,62.58,6,3,1.404525
1586,Accuracy,80,5,0.4514504970760229,96.29,5,7,1.2298375
1768,Accuracy,80,5,0.22610026315789497,60.85,6,3,1.573125
1278,Accuracy,80,5,0.22363078947368398,86.89,5,3,1.648275
1079,Accuracy,80,5,0.25489235380117004,77.92,4,10,0.40523636363636406
1300,Accuracy,80,5,0.404969736842105,87.22,10,1,4.04
1069,Accuracy,80,5,0.25489235380117004,85.06,4,5,1.06391666666667
1760,Accuracy,80,5,0.22610026315789497,90.92,9,3,1.52385
990,Accuracy,120,5,0.38790115497076,104.71,7,2,2.9015666666666697
1821,Accuracy,120,5,0.22610026315789497,49.7,10,2,1.5863666666666698
1536,Accuracy,120,5,0.4514504970760229,105.02,3,7,1.2304375
980,Accuracy,120,5,0.38790115497076,117.04,6,3,2.39825
1849,Accuracy,120,5,0.289582368421053,96.19,7,2,1.94463333333333
1427,Accuracy,120,5,0.44272789473684204,76.42,5,5,1.6300333333333301
1701,Accuracy,120,5,0.258833157894737,120.29,9,7,1.4419
1431,Accuracy,120,5,0.44272789473684204,89.3,7,5,1.8217833333333302
1201,Accuracy,120,5,0.22363078947368398,75.42,8,2,1.7534666666666698
1652,Accuracy,120,5,0.211221578947368,114.77,6,3,1.206875
1324,Accuracy,120,5,0.404969736842105,67.88,5,6,1.03888571428571
1656,Accuracy,120,5,0.211221578947368,102.47,8,2,1.599
1648,Accuracy,120,5,0.211221578947368,109.42,8,3,1.416525
1086,Accuracy,120,5,0.25489235380117004,93.64,3,6,0.690471428571429
1646,Accuracy,120,5,0.211221578947368,61.55,8,3,1.259375
1092,Accuracy,120,5,0.25489235380117004,85.58,4,5,0.7755
1522,Accuracy,120,5,0.4514504970760229,91.96,4,9,0.9480200000000001
1180,Accuracy,120,5,0.27560500000000004,102.98,6,3,1.550175
1645,Accuracy,120,5,0.211221578947368,96.73,10,2,1.6331
1081,Accuracy,120,5,0.25489235380117004,73.48,4,5,0.917233333333333
1539,Accuracy,120,5,0.4514504970760229,111.07,5,6,1.13344285714286
1208,Accuracy,120,5,0.22363078947368398,96.85,12,1,2.67015
