,Radius,Noise,IKINumber,MaxDeviation,MaxNrDigits,TrackingWindowVisitCounter,MeanTimeTypingWindow,PayOffFunction
971,80,3,0.38790115497076,56.98,6,3,2.484,Accuracy
1674,80,3,0.211221578947368,63.69,5,3,1.10435,Accuracy
597,120,5,0.264108157894737,161.99,10,2,2.96356666666667,Speed
670,120,5,0.184142105263158,99.9,13,2,1.8868333333333303,Speed
1853,120,5,0.289582368421053,133.97,10,2,2.4286333333333303,Accuracy
994,120,5,0.38790115497076,122.51,8,2,3.241,Accuracy
398,80,3,0.316916315789474,78.03,6,4,1.6648,Speed
854,80,3,0.394169473684211,111.41,10,2,3.88416666666667,Speed
417,80,5,0.38419394736842105,179.52,9,2,2.1124,Speed
272,80,5,0.469810526315789,133.66,6,5,2.95865,Speed
767,120,3,0.18430421052631601,95.84,20,0,4.5512,Speed
897,120,3,0.38239945906432704,71.47,15,2,3.2196,Speed
1312,80,5,0.404969736842105,68.22,3,8,0.6102666666666671,Accuracy
1904,80,5,0.289582368421053,108.39,9,2,2.42763333333333,Accuracy
58,80,5,0.30855368421052604,89.5,6,5,1.28375,Speed
415,80,5,0.38419394736842105,69.57,14,1,2.9679,Speed
881,120,3,0.38239945906432704,41.91,14,2,2.56956666666667,Speed
215,120,3,0.39388921052631604,86.85,12,2,3.344,Speed
1310,80,5,0.404969736842105,79.83,4,7,0.7427375,Accuracy
1129,80,5,0.27560500000000004,85.29,3,6,0.9873142857142858,Accuracy
1040,120,3,0.25489235380117004,59.37,8,3,1.436175,Accuracy
1889,120,3,0.289582368421053,69.41,9,2,3.10863333333333,Accuracy
974,80,3,0.38790115497076,58.83,7,3,2.540775,Accuracy
972,80,3,0.38790115497076,76.53,6,3,2.5472,Accuracy
295,120,5,0.469810526315789,153.14,11,3,2.643425,Speed
666,120,5,0.184142105263158,61.46,13,1,2.439,Speed
0,80,3,0.30855368421052604,76.66,6,3,2.07905,Speed
12,80,3,0.30855368421052604,73.51,12,1,2.76335,Speed
1834,120,5,0.22610026315789497,124.93,9,2,2.3213333333333304,Accuracy
1823,120,5,0.22610026315789497,90.58,12,1,2.3901,Accuracy
723,120,5,0.18430421052631601,46.1,20,0,4.0459,Speed
586,120,5,0.264108157894737,155.39,12,1,3.2514,Speed
1322,120,5,0.404969736842105,108.84,8,5,1.20913333333333,Accuracy
1526,120,5,0.4514504970760229,82.08,5,8,1.06405555555556,Accuracy
3,80,3,0.30855368421052604,71.33,11,1,3.28685,Speed
754,80,3,0.18430421052631601,50.09,10,1,2.8402,Speed
1804,80,3,0.22610026315789497,107.29,12,1,2.7764,Accuracy
1661,80,3,0.211221578947368,64.25,7,3,1.1259,Accuracy
1595,80,5,0.4514504970760229,76.02,3,19,0.512000000000001,Accuracy
1582,80,5,0.4514504970760229,87.58,3,9,1.10765,Accuracy
436,120,3,0.38419394736842105,48.67,12,1,4.2539,Speed
219,120,3,0.39388921052631604,87.1,20,1,4.07195,Speed
682,80,5,0.184142105263158,101.76,14,1,2.3642,Speed
404,80,5,0.38419394736842105,163.04,7,3,1.635325,Speed
1246,120,3,0.22363078947368398,32.61,10,1,2.53875,Accuracy
1046,120,3,0.25489235380117004,46.89,8,3,1.5546,Accuracy
