;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
33;120;5;0.308553684;3.717.700.748;97.01;4.0;6;131.946;21.265;2.057.725;27.007;4;30;-0.6209051327335698;Accuracy;Speed;FALSE;101;30;3;0.006
34;120;5;0.308553684;2.061.901.274;52.7;6.666.666.667;13;2.163.166.667;39.488;102.655;14.633;2;31;0.8526560622460609;Speed;Speed;FALSE;101;31;3;0.046
35;120;5;0.308553684;5.364.656.151;128.56;6.666.666.667;13;2.079.566.667;32.433;157.445;19.028;2;32;-0.36857619352056903;Accuracy;Speed;FALSE;101;32;4;0.042
36;120;5;0.308553684;51.2;150.85;6.666.666.667;7;22.616;24.745;161.155;21.215;2;33;0.01910764318779623;Speed;Speed;FALSE;101;33;4;0.017
37;120;5;0.308553684;3.279.362.776;82.21;6.666.666.667;12;21.028;35.469.999.999.999.900;157.415;1.611;2;34;0.8714074481470307;Speed;Speed;FALSE;101;34;4;0.054
38;120;5;0.308553684;4.172.636.156;89.23;6.666.666.667;9;3.106.933.333;42.659;135.705;14.675;2;35;0.7587197739897095;Speed;Speed;FALSE;101;35;4;-0.01
39;120;5;0.308553684;3.745.596.154;92.13;6.666.666.667;12;2.603;45.473;0.9918;10.283;2;36;17.408.910.923.909.300;Speed;Speed;FALSE;101;36;4;0.05
40;80;5;0.308553684;4.651.957.143;119.0;5.0;9;1.655.075;27.607;1.533.433.333;17.883;3;47;12.809.285.756.637.200;Speed;Speed;TRUE;101;47;1;-0.101
41;80;5;0.308553684;3.025.523.148;118.35;2.857.142.857;5;1.166.966.667;19.215;-0.616316667;21.983;5;48;0.9994952977759027;Speed;Speed;FALSE;101;48;1;-0.026
42;80;5;0.308553684;2.707.642.667;91.42;3.333.333.333;7;1.109.216.667;20.044;10.885.200.000.000.000;13.763;5;49;0.6955852103657408;Speed;Speed;TRUE;101;49;1;0.017
43;80;5;0.308553684;1.893.698.113;59.16;4.0;6;138.398;18.511;11.549;15.819.999.999.999.900;4;50;-0.7103431822664307;Accuracy;Speed;FALSE;101;50;1;0.033
44;80;5;0.308553684;3.603.432.258;108.21;4.0;6;17.708;2.405;13.769;15.814;4;51;0.9114665773996476;Speed;Speed;FALSE;101;51;1;-0.065
